"1"	"Ben & Jerry's Will Be Giving Out Free Ice Cream On November 1, Here's How To Get It"	"restaurantsandnews"	"Cherry Garcia, please!"
"0"	"THEN AND NOW: What all your favorite '90s stars are doing today"	"celebrity"	"These heartthrobs and fan favorites made the 1990s one of the best decades of the century. Here's what they're up to now."
"0"	"After Saugus High School shooting, prayer unites a grieving community"	"newsus"	"A day that began with the shock of a school shooting in Santa Clarita ended in prayer for many families who gathered for vigils in the area. Standing before hundreds of people at Grace Baptist Church in Santa Clarita on Thursday night, Pastor David Hegg acknowledged that students and parents may be grappling with how to make sense of the shooting at Saugus High School, which left two students ..."
"0"	"Why This Couple Is Getting a 'Sleep Divorce'"	"lifestylevideo"	"A New Jersey couple is getting an unusual "divorce." Liz and Rich Alterman have been happily married for almost 20 years. They have three children and are now on the brink of getting "sleep divorced.""
"0"	"Meghan Markle and Hillary Clinton Secretly Spent the Afternoon Together at Frogmore Cottage"	"lifestyleroyals"	"Meghan Markle Invites Hillary Clinton to Her Frogmore Cottage Home"
"0"	"Stromboli vs. Calzone: What's the Real Difference Between These Italian Favorites?"	"foodnews"	"We're putting an end to the stromboli vs. calzone debate once and for all. Find out the real differences between the two Italian dishes."
"1"	"Ellen DeGeneres, Sandra Bullock go after 'celebrity endorsement theft industry' in lawsuit"	"news"	"Ellen DeGeneres and Sandra Bullock are teaming up against fake endorsement ads in a new lawsuit filed Wednesday."
"1"	"Kate Middleton and Prince William Make Surprise Visit to Children's Birthday Party in Pakistan!"	"lifestyleroyals"	"Kate Middleton, Prince William Join Birthday Party in Pakistan"
"1"	"Travis Scott and Kylie Jenner's daughter adorably dances to dad's song"	"music-celebrity"	"Stormi has got moves when dancing to her dad's song."
"1"	"Hawaii airport and homes evacuated as fast-moving fire hits West Maui"	"weathertopstories"	"A fast-moving blaze is burning near the airport in West Maui, Hawaii, as firefighters scrambled to save nearby homes."
"1"	"$42 million price cut on tech billionaire's Silicon Valley monster mansion"	"finance-real-estate"	"Silicon Valley big shot Scott McNealy drastically slashed the price on his mega Portola Valley, Calif., mansion on over 13 serene acres. McNealy originally listed the estate, which includes a 28,000-square-foot house, for $96.8 million in June 2018. The new listing price is $54.8 million, an impressive $42 million price cut."
"1"	"Mariska Hargitay definitely remembers getting fired from a Power Rangers movie"	"tv-celebrity"	"Mariska Hargitay was fired from Power Rangers movie"
"0"	"An ambassador fired: What to watch on Day 2 of impeachment"	"newspolitics"	"An ambassador, her firing and a pair of fixers. Those details stand at the center of Marie Yovanovitch's story, a personal ordeal she is describing to Americans and the world Friday as part of the Democrat-driven impeachment inquiry against President Donald Trump."
"0"	"Trump's Washington hotel has fallen behind competitors, with rooms running nearly half empty, marketing materials show"	"newsus"	"A real estate firm hired by Trump's company distributed the materials to potential buyers."
"1"	"Cornell student, 18, found dead in gorge after frat party, reports say"	"newsus"	"A top Ivy League student was found dead Saturday afternoon in a New York gorge after he left a fraternity party and disappeared Thursday night, according to reports."
"1"	"NYPD officer is in critical condition after an altercation at a Brooklyn nail salon"	"newscrime"	"A New York Police Department officer was in critical condition in a medically induced coma after an altercation with a suspect Friday night at a nail salon in Brooklyn, police said."
"0"	"All the times royals have met A-list celebs"	"celebrity"	"See all the moments the British royal family rubbed elbows with Hollywood stars."
"0"	"Mini Mister Rogers! Hospital Dresses Up Newborn Babies as Beloved TV Icon for World Kindness Day"	"lifestylebuzz"	"Mister Rogers Babies: Hospital Dresses Up Newborns as TV Icon"
"0"	"'National tragedy': Surveillance, staffing under review after deaths at VA hospital"	"newsus"	"After 10 patients died in a suspected serial killing case at a West Virginia VA hospital, the agency is reviewing surveillance and staffing protocols."
"1"	"Accused killer's girlfriend reveals Colorado mom's last words"	"newscrime"	"Krystal Lee, who was having an affair with Frazee, is expected back on the stand Thursday"
"0"	"The world's most profitable company is about to go public"	"finance-companies"	"The oil company that made Saudi Arabia rich is going public. Some say the timing couldn't be worse."
"1"	"Millie Bobby Brown Shows Off Her Freckles in Makeup-Free Selfies"	"lifestylebuzz"	"This is the only ad we need for Bobby Brown's skin-care line."
"1"	"One family built Forever 21 and fueled its collapse"	"finance-companies"	"When Forever 21 filed for bankruptcy last month, the fast fashion chain described its history in documents that read, at times, like a pitch for a memoir or a Netflix special. Photos of the company's husband and wife founders, Do Won and Jin Sook Chang, and their two daughters appeared under headings like "Forever Striving: A Story of Grit, Determination, and Passion." The filing emphasized the improbable success of the Changs, who immigrated to..."
"0"	"Taylor Swift Rep Hits Back at Big Machine, Claims She's Actually Owed $7.9 Million in Unpaid Royalties"	"musicnews"	"Taylor Swift's team responds to Big Machine's denial."
"1"	"Officer shot his neighbor, DA says, then waited to call 911   and lied about what happened"	"newscrime"	"The NYPD officer, who was terminated after the incident, claimed his neighbor accidentally shot himself while playing with a gun, according to an indictment."
"1"	"'Slender Man' investigators discuss chilling interviews with 12-year-old suspects"	"newscrime"	"The investigators who questioned the young attempted murderers spoke for the first time with "20/20" and discussed how they uncovered their three vicious plots."
"1"	"Police desperately searching for missing 3-year-old, 2 persons of interest in custody"	"newscrime"	"Kamille "Cupcake" McKinney was playing at a birthday party when she disappeared."
"0"	"How much turkey do you need to buy per person?"	"tipsandtricks"	"When hosting Thanksgiving dinner, there are a lot of questions regarding the menu that may come up."
"0"	"13 Reasons Why's Christian Navarro Slams Disney for Casting 'the White Guy' in The Little Mermaid"	"movienews"	"13 Reasons Why's Christian Navarro Slams Little Mermaid's Eric Casting"
"0"	"Rodney Reed's lawyers file to overturn conviction"	"newscrime"	"Reed is scheduled to be executed on November 20 for the 1996 murder of Stacey Stites"
"1"	"South Carolina teen gets life in prison for deadly elementary school shooting"	"newsus"	"Jesse Osborne, the teenager responsible for a shooting at a South Carolina elementary school in 2016, was sentenced to life in prison."
"1"	"A man dies in Hawaii after falling into a lava tube in his yard"	"newsus"	"An elderly man died after falling into a lava tube on his property in Hilo, Hawaii, police announced on Wednesday."
"1"	"Sarah Michelle Gellar evacuates home during LA wildfires, runs into Selma Blair"	"movies-celebrity"	""These moments remind me to be grateful for all the blessings I have, and Selma you are certainly one of them," Gellar wrote."
"1"	"Kanye West, with debt piling up, thanks God for $68 million tax refund"	"personalfinance"	"Kanye West has been making headlines lately for his Sunday Service, an invitation-only event that started earlier this year in which the rapper-turned-preacher performs with live musical accompaniment. Apparently, there are big profits in his piety."
"0"	"Russia lands forces at former U.S. air base in northern Syria"	"newsworld"	"Russia lands forces at former U.S. air base in northern Syria"
"1"	"Christopher Dennis Dies: 'Hollywood Superman' And Frequent 'Jimmy Kimmel Live!' Guest Was 52"	"news"	"Hollywood Boulevard is in mourning for a lost superhero following the death of the man known as Hollywood Superman, who frequented the Walk of Fame tourist attraction."
"0"	"Calif. school shooting, ex-ambassador's testimony and 'Jeopardy!': 5 things to know Friday"	"newsus"	"A California school district cancels classes after a mass shooting, the ex-US envoy to Ukraine will testify and more news you need to know Friday."
"1"	"Kyoto's Gion neighborhood cracks down on photography"	"travelnews"	"Kyoto's historic Gion neighborhood is banning photography in certain areas in response to ongoing issues with bad tourist behavior."
"1"	"Photo of emotional nurse after 'particularly hard day' goes viral"	"health-news"	"Her sister revealed that she had just wrapped up four days worth of work that included assisting in the delivery of a stillborn baby."
"1"	"UNSOLVED | Small Florida town rattled by 2007 murder of pregnant mother"	"newscrime"	"Tyvon Whitford had a 5-year-old son and was six months pregnant with her second child when she murdered in her own doorway. Her killer is still not known."
"1"	"No Trick: These New England Towns Are Postponing Halloween Due to Weather"	"weathertopstories"	"It looks like Halloween is bringing us more tricks than treats across New England this year, with Oct. 31 forecast to have heavy rain and high wind gusts."
"0"	"20 Style Lessons Chrissy Teigen Taught Us That We'll Remember Until the End of Time"	"lifestylecelebstyle"	"There are plenty of stylish women whose wardrobes we'd love to raid: Meghan Markle's, with all her colorful dresses."
"0"	"New Trump rule to make more health care rates public"	"health-news"	"The hospital industry says it will sue to stop it from taking effect."
"1"	"Queen Elizabeth and Michelle Obama Shared 'Instant, Mutual Warmth' When They Broke Royal Protocol"	"lifestyleroyals"	"Queen Elizabeth Welcomed When Michelle Obama Put Arm Around Her"
"1"	"Body of missing Alabama girl found; 2 being charged"	"newscrime"	"Investigators searching through garbage found the body of a 3-year-old girl who was missing more than a week, and authorities are charging two people with murder, police said Tuesday."
"1"	"Prison workers under investigation for allegedly mocking transgender inmates in private Facebook groups"	"newsus"	"More than a dozen correctional employees in Illinois are under investigation after they were accused of mocking transgender inmates in private Facebook groups, state officials said."
"1"	"Georgia Supreme Court temporarily halts man's execution"	"newscrime"	"ATLANTA (AP)   With about eight hours to spare before a man convicted of killing a convenience store clerk was to be put to death Wednesday, Georgia's highest court stepped in and temporarily halted the execution. Ray Jefferson Cromartie, 52, was to receive a lethal injection at 7 p.m. Wednesday at the state prison in Jackson. But the Georgia Supreme Court issued a stay of execution, saying the execution order "may be void." In a legal filing..."
"1"	"Iowan convicted of murder claims his life-sentence was served once he died, was revived in medical emergency. The court disagrees."	"newscrime"	"An Iowa convicted of murder was rushed from prison to the hospital where his heart was restarted five times. Now he claims he should be freed"
"0"	"The Unlikely Star of My Family's Thanksgiving Table"	"recipes"	"It's hard to remember life before broccoli cheese rice casserole. Or, B.B.C.R.C.E. (Before Broccoli Cheese Rice Casserole Era). What did the Kim clan have to look forward to every Thanksgiving before the cheesy family-favorite side dish entered our lives? Stuffing, maybe. Green bean casserole. Macaroni and cheese. Ham in cola, a quirky recipe from Nigella Lawson that she picked up from the American South. Certainly nothing from the Korean..."
"1"	"L.A.'s $1 billion trophy tower halted as China pulls back"	"markets"	"It's meant to be one of the crown jewels of downtown Los Angeles' urban renaissance but now it's in limbo -- plagued by lawsuits from subcontractors, and victim of an ongoing trade dispute between China and the U.S. and a Beijing crackdown on credit and capital flight."
"1"	"Mystery Woman Kissing Singer Usher Identified As Record Exec"	"music-celebrity"	"He is newly single."
"1"	"Look of the day: Ashley Graham's latest sizzling maternity look & more celeb style"	"lifestylebuzz"	"Bella Hadid attended the CFDA/Vogue Fashion Fund Awards in an Alexander Wang jumpsuit embellished with nipple and belly-button jewels."
"1"	"Hundreds mourn slain girl at funeral in Alabama's major city"	"newscrime"	"Hundreds of people packed an Alabama church to overflowing Sunday for the funeral of a girl who police say was killed after being kidnapped from a birthday party."
"1"	"Husband, father-in-law of slain St. Cloud mother charged with murder"	"newscrime"	"Human remains found on a property in St. Cloud are those of a mother who was reported missing last week after failing to pick up her son from school, according to the Osceola County Sheriff's Office."
"0"	"Supporting your adult children can ruin your retirement plans"	"finance-retirement"	"Prepare your children early in life to be financially independent. If not, your retirement plan may need to include funding your irresponsible adult child's lifestyle, in addition to funding your own retirement."
"1"	"This girl nails the wave pool   then fails the exit spectacularly"	"lifestyle"	"The wave pool isn't easy, but this girl managed to stay on her board and dismount gracefully. But then watch what happens. Carson Daly shares TODAY's Daly Click."
"0"	"Celebrity PDA of 2019"	"celebrity"	"See the stars kissing and hugging on the red carpet and out and about!"
"1"	"Woman Spots Deadly Animal Hiding In Photo Of Her Kids"	"lifestylebuzz"	"Her unsuspecting children weren't the only ones posing for the pictures."
"1"	"Green Beret awarded Medal of Honor for saving lives"	"newsus"	"Master Sergeant Matthew Williams and his team of green berets choppered into a remote Afghan valley in the spring of 2008. Their mission, part of which was recorded, was to capture or kill a senior terrorist leader. But nothing went right. To begin with, it was too rocky to land."
"1"	"Police rescue abducted teen girl; 34-year-old man taken into custody"	"newscrime"	"An Amber Alert was issued for missing Virginia teen Isabel Hicks last week."
"0"	"The world's only $100 billion utility owes its rise to wind power"	"finance-companies"	"Two decades ago, when coal ruled U.S. power generation, a Florida utility plowed some of its extra cash into a wind farm atop a desolate Oregon plateau."
